id,first_name,last_name,gender,robot_serial,robot_color,field_test_1,field_test_2,field_test_3
1,Richmond,Coleford,Male,RS:785_6835,Violet,90,68,58
2,Mal,Niven,Male,RS:613_9433,Pink,59,35,53
3,Mirilla,Allder,Female,RS:346_6023,Yellow,94,69,78
4,Sampson,Sudell,Male,RS:043_1361,Blue,53,87,87
5,Gusella,Giacomoni,Female,RS:651_2102,Crimson,96,93,38
6,Grace,Hufton,Female,RS:990_0760,Turquoise,91,82,83
7,Nial,Mazzey,Male,RS:803_4810,Blue,98,67,47
8,Bordie,Corben,Male,RS:857_3194,Green,76,86,91
9,Aluin,Christall,Male,RS:882_3008,Teal,52,54,66
10,Zollie,Muge,Male,RS:849_6152,Purple,55,42,87
11,Olia,Wareing,Female,RS:096_0171,Indigo,71,53,84
12,Porty,Jambrozek,Male,RS:498_3152,Yellow,58,51,72
13,Gwyn,Matasov,Female,RS:494_4284,Crimson,71,43,99
14,Adolphus,Shird,Male,RS:059_9418,Pink,86,50,82
15,Dareen,Hyde,Female,RS:051_2656,Mauv,82,94,86
16,Ganny,Salasar,Male,RS:597_9216,Aquamarine,61,40,38
17,Clerkclaude,Merredy,Male,RS:276_5608,Fuscia,94,42,58
18,Cordula,Baldoni,Female,RS:158_5290,Yellow,94,86,69
19,Gareth,Dewett,Male,RS:516_5326,Green,62,55,96
20,Neale,Marham,Male,RS:799_9860,Red,94,43,99
21,Tabbi,Pecha,Female,RS:188_1377,Pink,51,74,38
22,Fred,Sor,Male,RS:057_2752,Violet,55,48,51
23,Levy,Southern,Male,RS:602_8567,Red,51,80,56
24,Berkley,Setchell,Male,RS:281_3498,Red,79,59,53
25,Saunders,Mathers,Male,RS:257_2948,Orange,52,47,64
26,Daphna,Hurdle,Female,RS:895_9775,Blue,64,75,54
27,Lionello,Credland,Male,RS:862_9755,Blue,100,40,37
28,Gustave,Raubheim,Male,RS:793_2527,Pink,97,93,37
29,Hillie,Ellph,Male,RS:652_4982,Indigo,94,82,100
30,Elliot,Maxstead,Male,RS:312_7037,Khaki,62,87,66
31,Shaylyn,Prebble,Female,RS:517_6947,Yellow,54,81,92
32,Jeffry,Seif,Male,RS:179_0576,Maroon,81,61,83
33,Reagan,Butte,Male,RS:571_9996,Maroon,64,76,71
34,Gaspar,Drakard,Male,RS:850_8361,Goldenrod,71,50,39
35,Wernher,Cavanagh,Male,RS:040_1501,Blue,90,71,60
36,Immanuel,Biggadike,Male,RS:101_6689,Blue,57,100,54
37,Irv,Tootin,Male,RS:933_5140,Orange,67,76,98
38,Sibylla,McGarrahan,Female,RS:853_3493,Khaki,88,48,94
39,Leandra,Dudman,Female,RS:426_1597,Blue,81,47,62
40,Sollie,Ride,Male,RS:187_4672,Yellow,52,85,80
41,Maude,Cattellion,Female,RS:390_3026,Indigo,64,88,81
42,Chas,Jouning,Male,RS:777_8228,Crimson,93,92,79
43,Harlie,Tidmarsh,Female,RS:903_4841,Mauv,97,95,41
44,Franny,Killford,Male,RS:949_3449,Teal,51,50,60
45,Carly,Maulden,Male,RS:655_3221,Purple,83,61,39
46,Joann,Cardoo,Female,RS:737_5855,Violet,97,73,39
47,Bondon,de Marco,Male,RS:035_4947,Khaki,78,44,67
48,Dar,Tersay,Male,RS:808_7851,Puce,57,49,55
49,Giffie,Lowe,Male,RS:906_3688,Blue,62,62,62
50,Lilas,Nand,Female,RS:681_3014,Violet,89,87,72
51,Em,Doge,Female,RS:455_5473,Pink,89,91,92
52,Dorette,Jakubski,Female,RS:366_7238,Green,100,61,37
53,Ninetta,Adney,Female,RS:743_4021,Maroon,61,61,51
54,Palmer,Joynson,Male,RS:516_7077,Puce,78,81,48
55,Mackenzie,Rodder,Male,RS:956_8468,Goldenrod,77,62,79
56,Law,Dacks,Male,RS:380_6667,Mauv,69,82,72
57,Rosabelle,Dunkerly,Female,RS:937_5393,Blue,52,89,59
58,Sharleen,Kerkham,Female,RS:290_2638,Turquoise,86,94,79
59,Sallyanne,Alabone,Female,RS:949_7536,Pink,79,97,80
60,Willetta,Blann,Female,RS:557_4257,Khaki,95,74,68
61,Christiano,Bainbrigge,Male,RS:220_7042,Crimson,93,37,70
